Fecha,Destino,All_aboard,Cantidad de Fallecidos,Operador,Ac_type,passenger_fatalities,crew_fatalities
2008-09-17,"Fort Myer, Virginia",2,1,Military - U.S. Army,Wright Flyer III,1,0
2012-07-12,"Atlantic City, New Jersey",5,5,Military - U.S. Navy,Dirigible,0,5
2013-08-06,"Victoria, British Columbia, Canada",1,1,Private,Curtiss seaplane,0,1
2015-03-05,"Tienen, Belgium",41,17,Military - German Navy,Zeppelin L-8 (airship),0,17
2016-10-01,"Potters Bar, England",19,19,Military - German Navy,Zeppelin L-31 (airship),0,19
2018-12-16,"Elizabeth, New Jersey",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2019-05-25,"Cleveland, Ohio",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2019-07-19,"Dix Run, Pennsylvania",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2019-08-02,"Verona, Italy",14,14,Caproni Company,Caproni Ca.48,12,2
2019-10-02,"Newcastle, England",1,1,Aircraft Transport and Travel,De Havilland DH-4,0,1
2019-10-14,"Cantonsville, Maryland",1,1,US Aerial Mail Service,Curtiss R-4LM,0,1
2019-10-20,"English Channel off Forkstone, Kent",0,0,Aircraft Transport and Travel,De Havilland DH-4,0,0
2019-10-30,"Long Valley, New Jersey",1,1,US Aerial Mail Service,De Havilland DH.4,0,1
2019-12-11,"Catherham, Surrey, UK",1,1,Aircraft Travel Transport,de Havilland DH-4,1,1
2020-03-10,"New Paris, Indiana",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-03-30,"Newark, New Jersey",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-04-10,"Newark, New Jersey",2,1,US Aerial Mail Service,Curtiss R-4LM,0,1
2020-04-11,"Heller Field, New Jersey",2,1,US Aerial Mail Service,Curtiss JN-4H,0,1
2020-05-12,"Oskaloosa, Iowa",2,1,US Aerial Mail Service,De Havilland DH-4,1,0
2020-06-06,"Cleveland, Ohio",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-07-20,"Cartagena, Columbia",1,1,Compañia Colombiana de Navegación Aérea,Farman F-40,1,1
2020-08-16,"Bedford, England",1,1,By Air,Armstrong-Whitworth F-K-8,0,1
2020-08-16,"College Park, Maryland",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-09-01,"Morristown, New Jersey",2,2,US Aerial Mail Service,Junkers JL-6,0,2
2020-09-27,"Hillersburg, Pennsylvania",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-10-02,"Off Port Vendres, France",2,2,Latecoere Airlines,Salmson 2-A-2,1,1
2020-10-05,"Valencia, Spain",2,2,Latecoere Airlines,Breguet 14,1,1
2020-10-15,"Batavia, Illinois",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-11-07,"Tie Siding, Wyoming",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2020-12-14,"London, England",8,4,Handley Page Transport,Handley Page HP-16,2,2
2020-12-24,"Barcelona, Spain",1,1,Aeropostale,Breguet 14,0,1
2021-02-03,"Mendotta, Minnisota",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2021-02-09,"La Crosse, Wisconsin",3,3,US Aerial Mail Service,Junkers F-13,0,3
2021-02-15,Off Gibraltar,2,2,Aeropostale,Breguet 14,0,2
2021-02-22,"Elko, Nevada",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2021-04-06,"Point Cook, Australia",2,2,Military - Royal Australian Air Force,Avro 504,0,0
2021-04-21,"Mitchel Field, NY",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2021-04-29,"Cleveland, Ohio",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2021-05-17,"Rock Springs, Wyoming",1,1,US Aerial Mail Service,"De Havilland DH-4De Havilland DH-4",0,1
2021-08-24,"River Humber, England",49,43,Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),0,43
2021-09-06,"Paris, France",5,5,Franco-Roumaine,Potez IX,4,1
2021-12-05,"Near Murchinson River, Australia",2,2,West Australian Airways,Bristol 28 Tourer,0,2
2022-01-14,"Paris, France",5,5,Handley Page Transport,Handley Page O/10,4,1
2022-03-22,North Atlantic Ocean,6,5,Aero Limited,Aeromarine Model 85 (flying boat),5,0
2022-04-07,"Grandvilliers, France",7,7,Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,5,2
2022-06-03,"Off Folkestone, Kent, England",3,3,Cie des Messageries Aeriennes,Bleriot Spad 27,2,1
2022-07-16,"Near Saverne, Lorraine, France",5,5,Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,4,1
2022-07-26,"Cadix, Spain",3,3,Grands Express Aeriens,Breguet 14,2,1
2022-09-07,"Indianapolis, Indiana",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2022-10-02,"Venice, Italy",4,4,de Havilland Air Service,de Havilland DH-9,3,1
2022-10-25,"Larache, Morocco",2,2,Grands Express Aeriens,Breguet 14,1,1
2022-12-03,"Fez, Morocco",1,1,Grands Express Aeriens,Breguet 14,0,1
2023-01-10,"Ajaccio, France",4,3,Amee de l'Air,Lioré-et-Olivier H-13,1,2
2023-01-17,"Barcelona, Spain",1,1,Grands Express Aeriens,Breguet 14,0,1
2023-01-18,"Cheyenne, Wyoming",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2023-02-26,"Meadville, Pennsylvania",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2023-05-14,"Near Amiens, Picrdie, France",6,6,Grands Express Aeriens (Air Union),Farman F-60 Goliath,4,2
2023-08-27,"East Mallling, United Kingdom",11,1,Air Union,Farman F.60 Goliath,1,0
2023-08-27,"Bucharest, Romania",2,2,Campagnie France Roumaine,Blériot Spad 46,1,1
2023-09-07,"Colton, Ohio",1,1,US Aerial Mail Service,De Havilland DH-4,0,1
2023-09-14,"Near Ivinghoe, Buckinghamshire, England",5,5,Daimler Airways,de Havilland DH-34,3,2
1930-01-10,"Brawnson, Nebraska",1,1,Boeing Air Transport,Boeing 95,0,1
1930-01-13,"Antananarivo, Madagascar",3,3,Air Orient,Farman 190,0,3
1930-01-19,"Oceanside, California",16,16,Maddux Airlines,Ford 5-AT-C Tri Motor,14,2
1930-01-25,"Off Ceuta, Spain",2,2,Aeropostale,Latecoere 25,0,2
1930-01-27,"Kansas City, Missouri",5,5,Central  Airlines (Universal Aviation Corporation),Travel Air A6000A,4,1
1930-02-03,"Hartford, Connecticut",1,1,Colonial Air Transport,Pitcairn PA-6 Mailwing,0,1
1930-02-10,"Marden, England",6,2,Air Union,Farman F-63,2,0
1930-04-18,"Jersey City, New Jersey",4,4,Canadian Colonial Airways,Fairchild 71,3,1
1930-05-10,"Buenos Aires, Argentina",4,3,Aeropostale,Latecoere 28,1,2
1930-06-05,"Boston, Massachusetts",15,1,Colonial Air Transport,Ford Tri-Motor 5,1,0
1930-07-07,"Bornholm, Denmark",8,5,Deutsche Lufthansa,Dornier Wal,4,1
1930-07-10,"Arkansas Pass, Texas",5,5,Cross Airways,Lockheed Vega 5,4,1
1930-07-21,"Near Meopham, Kent, England",6,6,Walcot Air Line,Junkers F-13ge,4,2
1930-08-22,"Iglau, Czechoslovakia",11,10,Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,9,1
1930-09-11,"Croydon, England",2,2,Sabena,Sabca F-VII,0,2
1930-09-25,"Edmonton, Alberta, Canada",3,3,Western Canada Airways,Boeing 40,2,1
1930-10-06,"Dresden, Germany",8,8,Deutsche Lufthansa,Messerschmitt M-20B,6,2
1930-10-12,"La Rache, Morocco",4,4,Aeropostale,Latecoere 28,3,1
1930-10-13,"Perth, Australia",3,3,Wings Ltd,de Havilland DH.80 Puss Moth,2,1
1930-10-28,"Prince Rupert, BC, Canada",3,3,Alaska-Washington Airways,Lockheed Vega,2,1
1930-10-30,"Near Neufchatel, France",6,3,Imperial Airways,Handley Page W-8,2,1
1930-10-30,"Brookston, Indiana",1,1,Embry Riddle Company,Pitcairn PA-6 Mailwing,0,1
1930-11-07,"Off of Santos, Brazil",9,1,Syndicato Condor,Junkers G-24,1,0
1930-11-18,"Techachapi Mountains, California",3,3,Pacific Air Transport,Boeing 40,0,3
1930-12-09,"Shanghai, China",6,4,China National Aviation Corporation,Loening C-W Air Yaht,2,2
1931-01-08,"Melle, Belgium",2,2,Sabena,Fokker F-VII,0,2
1931-01-22,"Bluff Mountain, Washington",1,1,Varney Air Lines,Boeing 40,0,1
1931-02-08,"Wairoa, New Zealand",3,3,Dominion Air Lines,Desoutter II,2,1
1931-02-20,"Bagot, Manitoba, Canada",3,2,Western Canada Airways,Fokker Universal F-14,2,0
1931-02-24,Off Spain,3,1,Aeropostale,Latecoere 32,0,1
1931-03-21,"New South Wales, Australia",8,8,Australian National Airways,Avro 10,6,2
1931-03-31,"Bazaar, Kansas",8,8,Trans Continental and Western Air,Fokker F10A Trimotor,6,2
